"id","code","name","gateway_language_id"
"8544","ttd-x-ivani","Ivani","6270"
"8543","ttd-x-aivara","Aivara","6270"
"8542","kup-x-eromtaira","Erom Taira","6270"
"8541","kup-x-eromsai","Erom Sai","6270"
"8540","ttd-x-pioro","Pioro","6270"
"8539","kup-x-karuama","Karuama","6270"
"8538","rmt-SY-domari","Syrian Domari","334"
"8537","tbc-x-megiar","Megiar","6270"
"8536","mlp-x-wasabamal","Wasabamal","6270"
"8535","nij-x-sampit","Sampit","2418"
"8534","xdy-x-mentaya","Mentaya","2418"
"8533","kkx-x-pembuang","Pembuang","2418"
"8532","mhy-x-pajusapulu","Paju Sapuluh","2418"
"8531","nij-x-manyan","Manyan","2418"
"8530","mxn-x-salkma","Moi Salkma","2418"
"8529","hak-ID-kalimanhak","Kalimantan Hakka Chinese","7374"
"8528","el-x-koine","Koine Greek","-"
"8527","zmb-x-mamba","Mamba","1868"
"8526","zmb-x-kwange","Kwange","1868"
"8525","bpu-x-boimbi","Boimbi","6270"
"8524","tnh-x-gugubar","Gugubar","6270"
"8523","sks-x-suaro","Suaro","6270"
"8522","sks-x-yakiba","Yakiba","6270"
"8521","bkr-x-kalahien","Dusun Kalahien","2418"
"8520","nij-x-baream","Dayak Baream","2418"
"8519","bjn-x-seidusun","Dayak Sei Dusun","2418"
"8518","bjn-x-pulautelo","Dayak Pulau Telo","2418"
"8517","xdy-x-balai","Balai","2418"
"8516","bkr-x-pajuepat","Paju Epat","2418"
"8515","mhy-x-samihim","Samihim","2418"
"8514","mhy-x-halong","Dayak Halong","2418"
"8513","bkr-x-benualima","Benua Lima","2418"
"8512","kkg-x-kaluwan","Kal-Uwan","2475"
"8511","bjx-x-curaju","Curaju","2475"
"8510","msm-x-wawaanon","Manobo Wawaanon","1176"
"8509","mry-x-mandcaraga","Mandaya Caraga","1176"
"8508","tum-x-yombe","Tumbuka Yombe","1747"
"8507","mxn-x-moisigin","Moi Sigin","2418"
"8506","mxn-x-moiklasa","Moi Klasa","2418"
"8505","omw-x-kusingakua","Kusinga Kua","6270"
"8504","mek-x-inafangan","Inanfangan","6270"
"8503","ajg-x-adjtalagbe","Adja Talagbe","1868"
"8502","omw-x-waisaram","Waisaram","6270"
"8501","omw-x-dosara","Dosara","6270"
"8500","auy-x-tontona","Tontona","6270"
"8499","auy-x-moife","Moife","6270"
"8498","auy-x-arora","Arora","6270"
"8497","auy-x-kaiwana","Kaiwana","6270"
"8496","mey-MA-hassaniya","Hassaniya","334"
"8495","mey-MR-hassaniya","Hassaniya","334"
"8494","nst-x-nanel","Nanel","4240"
"8493","shr-x-hwindja","Hwindja","1868"
"8492","tgn-x-kadi","Kadi","1176"
"8491","bgr-x-panam","PaNam","4240"
"8490","pcc-x-giaynhan","Giay Nhan","6609"
"8489","zuh-x-ifiyufa","Mando Ifiyufa","6270"
"8488","gah-x-lapigufimi","Lapigu Fimito","6270"
"8487","snp-x-wandodavar","Wandodavarasa","6270"
"8486","gim-x-ovavo","Ovavo","6270"
"8485","gim-x-ibusakava","Ibusakava","6270"
"8484","auy-x-abomatasa","Abomatasa","6270"
"8483","auy-x-ati","Ati","6270"
"8482","for-x-forepamusa","Pamusa","6270"
"8481","ygr-x-iyau","Iyau","6270"
"8480","agd-x-namel","Agarabi Namel","6270"
"8479","mva-x-wanir","Wanir","6270"
"8478","kin-x-biofu","Biofu","1868"
"8477","agh-x-balema","Balema","1868"
"8476","bhy-x-bakombe","Bakombe","1868"
"8475","nnb-x-kinyabwito","Kinyabwito","1868"
"8474","nlo-x-bangholu","Bangholu","1868"
"8473","kin-x-kijovu","Kijovu","1868"
"8472","mek-x-nmekioupst","North Mekio Upstream","6270"
"8471","for-x-foreati","Fore Ati","6270"
"8470","for-x-pamusa","Fore Pamusa","6270"
"8469","for-x-abomatasa","Abomatasa","6270"
"8468","for-x-keya","Fore Keya","6270"
"8467","agd-x-kona","Agarabi Kona","6270"
"8466","agd-x-name","Agarabi Name","6270"
"8465","agd-x-agarabibus","Agarabi Bus","6270"
"8464","mxn-x-moikelin","Moi Kelin","2418"
"8463","kps-x-kaigar","Kaigar","2418"
"8462","kgr-x-madik","Moi Madik","2418"
"8461","mwq-x-nise","Ni-Se","4240"
"8460","knb-x-karakkad","Karakkad","2475"
"8459","hkn-x-mel","Mel","2986"
"8458","kmw-x-lubuto","Kikumu Lubuto","1868"
"8457","kmw-x-punia","Kikumu Punia","1868"
"8456","kmw-x-walekale","Kikumu Walekale","1868"
"8455","kmw-x-nyiragongo","Kikumu Nyiragongo","1868"
"8454","kin-x-kinyabinza","Kinyabinza","1868"
"8453","hke-x-bakobo","Bakobo","1868"
"8452","job-x-kivira","Kivira","1868"
"8451","ase-x-cotedivosl","Cote d'Ivoire Sign Language","-"
"8450","ase-x-beninsl","Benin Sign Language","-"
"8448","bts-x-riangkamie","Timur Riangkamie","2418"
"8447","bug-x-bugissinja","Bugis Sinjai","2418"
"8446","tnm-x-yokari","Yokari","2418"
"8445","tnm-x-yewena","Yewena","2418"
"8444","hsn-x-liupanshui","Miao Liupanshui","7374"
"8443","adr-x-waiwerang","Waiwerang","2418"
"8442","nya-x-nyanja","Nyanja","1747"
"8441","qaa-x-d0dfcf","Thai He","-"
"8440","qaa-x-2322f0","Aluk Atapue","-"
"8438","qaa-x-a3a290","Aluk Xekong","-"
"8437","lbo-x-champasak","Laven Champasak","3549"
"8436","qaa-x-3bdb65","Suai chang","-"
"8435","qaa-x-b5278a","Kuay suai","-"
"8434","qaa-x-29289f","Lao tiene","-"
"8433","qaa-x-a940e1","Upper Manay","-"
"8432","qaa-x-5ccca6","Alak Atapue","-"
"8431","qaa-x-94c973","Alak Xekong","-"
